"Version","ID","Name","productURL","imageURL","price","Description","Longid","deliveryTime","shortDescription","previousPrice","shippingCost","brand","Party","Category","Secondary Category"
"2","8ZWW2JMR0LD2-76BT","Alienware 17 R4 AW17R4-7002SLV-PUS Gaming Laptop","https://www.microsoft.com/en-us/store/d/alienware-17-r4-aw17r4-7002slv-pus-gaming-laptop/8ZWW2JMR0LD2/76BT","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWhN4C?ver=8057","1499"," 17.3-inch Full HD display  Intel Core i7-7700HQ  8GB memory/1TB HDD  VR-ready NVIDIA GeForce GTX 1060 graphics","8ZWW2JMR0LD2","02/09/2018","Alienware 17 R4 AW17R4-7002SLV-PUS Gaming Laptop","1499","0","Microsoft","3P","PCs","PC"
"2","8ZXCD00SNTST-5L9X","Logitech G502 Proteus Spectrum RGB Tunable Gaming Mouse","https://www.microsoft.com/en-us/store/d/logitech-g502-proteus-spectrum-rgb-tunable-gaming-mouse/8ZXCD00SNTST/5L9X","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6L2D?ver=ad2d","59.99","Get improved precision and responsiveness by customizing this mouse to your preferences with programmable RGB lighting, weight and balance tuning, and 11 programmable buttons. The Delta Zero optical sensor technology and DPI shift in-game give you a competitive edge. ","8ZXCD00SNTST","02/09/2018","Logitech G502 Proteus Spectrum RGB Tunable Gaming Mouse","79.99","0","Microsoft","3P","Gaming","VR/VM"
"2","900CQCJHL6MJ-5M6F","ASUS VivoBook Flip 14 TP401NA-UH21T 2 in 1 PC","https://www.microsoft.com/en-us/store/d/asus-vivobook-flip-14-tp401na-uh21t-2-in-1-pc/900CQCJHL6MJ/5M6F","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWidzG?ver=f72f","379"," 14-inch Full HD touchscreen  Intel Pentium N4200  4GB memory/64GB SSD","900CQCJHL6MJ","02/09/2018","ASUS VivoBook Flip 14 TP401NA-UH21T 2 in 1 PC","399","0","Microsoft","3P","PCs","PC"
"2","900F85X57N4R-CJ7Q","Evolve for Xbox One","https://www.microsoft.com/en-us/store/d/evolve-for-xbox-one/900F85X57N4R/CJ7Q","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW62Js?ver=fe7d","4.99","Evolve pits you and three friends against a savage, ever-evolving monster in adrenaline-pumping 4 vs. 1 matches. Or go it alone as the monster and turn the tables on your attackers. Hunter or hunted? You decide in this next-generation multiplayer shooter.","900F85X57N4R","02/09/2018","Evolve for Xbox One","4.99","0","Microsoft","3P","Gaming","Games & Content"
"2","900M9FFT0H8V-6VB0","NBA 2K18 for Xbox One","https://www.microsoft.com/en-us/store/d/nba-2k18-for-xbox-one/900M9FFT0H8V/6VB0","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW80Wy?ver=0d59","79.99","Get NBA 2K18 Legend Edition to receive the following content:  100,000 virtual currency  20 MyTEAM Packs to build your perfect fantasy team  Shaq digital items for your MyPLAYER ","900M9FFT0H8V","02/09/2018","NBA 2K18 Legend Edition for Xbox One","99.99","0","Microsoft","3P","Gaming","Games and Content"
"2","900M9FFT0H8V-CSVR","NBA 2K18 for Xbox One","https://www.microsoft.com/en-us/store/d/nba-2k18-for-xbox-one/900M9FFT0H8V/CSVR","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW80WA?ver=cff0","59.99","Hit the hardwoods and ball out like never before in NBA 2K18. Enhance your skills and build your career, hit the courts in The Playground, join the Pro-Am circuit, explore an all-new open neighborhood setting, and more.","900M9FFT0H8V","02/09/2018","NBA 2K18 for Xbox One","59.99","0","Microsoft","3P","Gaming","Games and Content"
"2","900WZDF9XJVG-1R01","Xbox Design Lab","https://www.microsoft.com/en-us/store/d/xbox-design-lab/900WZDF9XJVG/1R01","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1xSls","79.99","Retro Pink","900WZDF9XJVG","02/09/2018","Retro Pink","79.99","0","Microsoft","1P","Gaming","Gaming Devices"
"2","900WZDF9XJVG-248B","Xbox Design Lab","https://www.microsoft.com/en-us/store/d/xbox-design-lab/900WZDF9XJVG/248B","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1xSls","79.99","Lightning Yellow","900WZDF9XJVG","02/09/2018","Lightning Yellow","79.99","0","Microsoft","1P","Gaming","Gaming Devices"
"2","900WZDF9XJVG-3Q0R","Xbox Design Lab","https://www.microsoft.com/en-us/store/d/xbox-design-lab/900WZDF9XJVG/3Q0R","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1xSls","79.99","Photon Blue","900WZDF9XJVG","02/09/2018","Photon Blue","79.99","0","Microsoft","1P","Gaming","Gaming Devices"
"2","900WZDF9XJVG-41ZD","Xbox Design Lab","https://www.microsoft.com/en-us/store/d/xbox-design-lab/900WZDF9XJVG/41ZD","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1xSls","79.99","Ash Grey","900WZDF9XJVG","02/09/2018","Ash Grey","79.99","0","Microsoft","1P","Gaming","Gaming Devices"
